id,RCS,nearestPass
829,2.6808,4800189.0
7439,0.6643,1492017.0
10872,0.0658,1623464.75
21353,0.0589,1592993.5
28931,13.5930,712784.75
30710,0.0177,897881.5
36071,0.0122,743205.625
39270,0.0184,1389961.625
31482,0.0153,769177.9375
38001,0.0127,752868.8125
22604,0.1093,1117650.5
33842,0.0540,742345.5625
39101,0.0031,977300.9375
17024,0.0040,2254782.5
30837,0.0182,928517.125
7271,0.6763,1466444.125
13460,0.0684,1028968.1875
