id,RCS,nearestPass
22036,1.0500,1477044.375
25288,3.5610,801858.25
36902,0.0123,728079.6875
18675,0.0163,1273980.0
1804,0.9848,2184129.0
12195,0.0463,923021.4375
735,0.3221,819369.6875
8184,0.7366,1465184.0
2994,0.0097,1001997.0625
